

Test Number: 1, Start Date: 25/06/2020
Ratio %0, Min: 177.69, SD1: 176.31, Average: 177.00, SD2: 177.69, Max: 177.69, Count: 87
Ratio %1, Min: 54.74, SD1: 106.22, Average: 191.15, SD2: 276.08, Max: 633.66, Count: 93
Ratio %2, Min: 42.91, SD1: 75.45, Average: 212.02, SD2: 348.58, Max: 1252.24, Count: 116
Ratio %3, Min: 36.4, SD1: 83.67, Average: 199.09, SD2: 314.51, Max: 851.57, Count: 101
Ratio %4, Min: 20.61, SD1: 65.33, Average: 205.24, SD2: 345.14, Max: 999.49, Count: 106
Ratio %5, Min: 26.3, SD1: 49.32, Average: 207.90, SD2: 366.48, Max: 1296.85, Count: 90
Ratio %6, Min: 23.33, SD1: 17.16, Average: 265.62, SD2: 514.07, Max: 1371.79, Count: 112
Ratio %7, Min: 26.11, SD1: -39.7, Average: 272.89, SD2: 585.48, Max: 2213.16, Count: 98
Ratio %8, Min: 12.47, SD1: 32.37, Average: 261.49, SD2: 490.61, Max: 1392.17, Count: 104
Ratio %9, Min: 15.91, SD1: -86.83, Average: 247.36, SD2: 581.54, Max: 2932.12, Count: 90
Ratio %10, Min: 25.15, SD1: 37.33, Average: 246.82, SD2: 456.32, Max: 1084.38, Count: 107
Ratio %11, Min: 28.1, SD1: -1.96, Average: 327.77, SD2: 657.5, Max: 1774.34, Count: 100
Ratio %12, Min: 28.54, SD1: -192.84, Average: 423.44, SD2: 1039.72, Max: 3816.68, Count: 107
Ratio %13, Min: 10.98, SD1: -376.03, Average: 345.06, SD2: 1066.15, Max: 7248.87, Count: 114
Ratio %14, Min: 12.08, SD1: -70.99, Average: 341.67, SD2: 754.32, Max: 2360.52, Count: 114
Ratio %15, Min: 13.22, SD1: -94.81, Average: 371.47, SD2: 837.75, Max: 2846.83, Count: 108
Ratio %16, Min: 9.02, SD1: -391.41, Average: 439.00, SD2: 1269.41, Max: 5954.15, Count: 106
Ratio %17, Min: 8.22, SD1: -856.84, Average: 582.26, SD2: 2021.36, Max: 10527.78, Count: 114
Ratio %18, Min: 18.22, SD1: -116.27, Average: 436.92, SD2: 990.11, Max: 3071.83, Count: 110
Ratio %19, Min: 9.84, SD1: -447.66, Average: 494.56, SD2: 1436.77, Max: 6860.56, Count: 106
Ratio %20, Min: 6.38, SD1: -200.05, Average: 543.18, SD2: 1286.4, Max: 3492.11, Count: 91
Ratio %21, Min: 14.92, SD1: -158.93, Average: 442.77, SD2: 1044.48, Max: 3115.78, Count: 75
Ratio %22, Min: 10.85, SD1: -238.32, Average: 440.74, SD2: 1119.81, Max: 4271.72, Count: 94
Ratio %23, Min: 6.3, SD1: -126.1, Average: 479.60, SD2: 1085.3, Max: 3056.18, Count: 102
